index,age,elimination,first_name,hometown,name,name_abbreviation,occupation,season
10,27,4,David,"West Alexandria, Ohio",David Good ,David G.,Trucking Contractor,5
11,35,4,Juan,"Buenos Aires, Argentina",Juan Barbieri ,Juan B.,General Contractor,5
12,28,4,Mike,"New York, New York",Mike Steinberg,Mike S.,Baseball Camp Owner,5
13,27,3,Brad,"Park Ridge, Illinois",Brad Seberhagen,Brad S.,Financial Advisor,5
14,28,3,Tanner,"Derby, Kansas",Tanner Fanello,Tanner F.,Sales Representative,5
15,27,3,Sasha,"Houston, Texas",Sasha Petrovic  ,Sasha P.,Oil & Gas Consultant,5
16,32,2,Brian,"Birmingham, Alabama",Brian Duke,Brian D.,IT Consultant,5
17,34,2,Julien,"San Diego, California",Julien Hug ,Julien H.,Restaurateur,5
18,25,2,Mathue,"Andover, Kansas",Mathue Johnson,Mathue J.,Personal Trainer,5
19,26,2,Simon,"Bradford, England",Simon Ambrose,Simon A.,Soccer Coach,5
20,27,1,Adam,"Santa Barbara, California",Adam Duvendeck,Adam D.,Olympic Cyclist,5
21,28,1,Bryan,"Lawton, Oklahoma",Bryan Vaderman,Bryan V.,High School Coach,5
22,31,1,Bryce,"Fort Lauderdale, Florida",Bryce Harlow,Bryce H.,Furniture Dealer,5
23,27,1,Caleb,"Kansas City, Missouri",Caleb Kuhl,Caleb K.,Photographer,5
24,31,1,Greg,"Albuquerque, New Mexico",Greg Bilbro,Greg B.,Entrepreneur,5
25,27,1,John,"Boise, Idaho",John Hardesty,John H.,Branding Consultant,5
26,29,1,John,"Fort Wayne, Indiana",John Presser ,John P.,Marketing Specialist,5
27,25,1,Josh,"Tustin, California",Josh Yocam,Josh Y.,Lifeguard,5
28,26,1,Kyle,"Austin, Texas",Kyle Yauch,Kyle Y.,Graphic Designer,5
29,30,1,Stephen,"Lexington, Massachusetts",Stephen Reich,Stephen R.,Lawyer,5
0,26,Winner,Roberto,"Tampa, Florida",Roberto Martinez  ,Roberto M.,Insurance Agent,6
1,33,Runner-up,Chris,"Dennis, Massachusetts",Chris Lambton  ,Chris L.,Landscaper,6
2,31,9,Frank,"Bartlett, Illinois",Frank Neuschaefer  ,Frank N.,Retail Manager,6
